team,off_eff,def_eff,tempo,off_eff_home,def_eff_home,off_eff_away,def_eff_away
Duquesne,111.329,107.975,0.587043,111.329,107.975,111.329,107.975
Virginia Tech,114.864,101.708,0.80201,114.864,101.708,114.864,101.708
North Carolina Central,99.469,118.967,0.113199,99.469,118.967,99.469,118.967
North Dakota St.,112.857,107.329,0.64051,112.857,107.329,112.857,107.329
Northwestern St.,107.383,118.984,0.235085,107.383,118.984,107.383,118.984
Fairfield,108.357,117.049,0.291656,108.357,117.049,108.357,117.049
Arkansas,127.107,102.888,0.919158,127.107,102.888,127.107,102.888
Cal St. Bakersfield,101.698,114.227,0.208159,101.698,114.227,101.698,114.227
George Washington,119.452,106.757,0.784507,119.452,106.757,119.452,106.757
UNC Asheville,103.862,109.878,0.343552,103.862,109.878,103.862,109.878
Dayton,109.247,100.245,0.728875,109.247,100.245,109.247,100.245
Stephen F. Austin,111.503,101.704,0.742283,111.503,101.704,111.503,101.704
Arkansas St.,112.395,110.552,0.547391,112.395,110.552,112.395,110.552
Army,104.123,121.166,0.148897,104.123,121.166,104.123,121.166
Oakland,116.964,114.172,0.569009,116.964,114.172,116.964,114.172
Southeast Missouri St.,101.734,110.963,0.269222,101.734,110.963,101.734,110.963
Binghamton,95.9303,122.987,0.0543069,95.9303,122.987,95.9303,122.987
George Mason,113.383,105.947,0.685696,113.383,105.947,113.383,105.947
Old Dominion,104.305,110.039,0.350837,104.305,110.039,104.305,110.039
Green Bay,112.688,114.874,0.444982,112.688,114.874,112.688,114.874
UNC Greensboro,107.554,121.219,0.201727,107.554,121.219,107.554,121.219
Little Rock,102.138,117.493,0.166507,102.138,117.493,102.138,117.493
Austin Peay,106.058,104.393,0.545343,106.058,104.393,106.058,104.393
Rutgers,109.931,108.849,0.528395,109.931,108.849,109.931,108.849
Nicholls St.,106.14,112.792,0.332024,106.14,112.792,106.14,112.792
Sacramento St.,103.784,115.245,0.23067,103.784,115.245,103.784,115.245
William & Mary,109.783,104.925,0.627258,109.783,104.925,109.783,104.925
Colgate,109.323,113.674,0.389623,109.323,113.674,109.323,113.674
USC,114.908,100.264,0.827464,114.908,100.264,114.908,100.264
Merrimack,106.109,108.395,0.439007,106.109,108.395,106.109,108.395
UNLV,111.216,107.349,0.600342,111.216,107.349,111.216,107.349
Illinois St.,112.332,101.991,0.752226,112.332,101.991,112.332,101.991
Manhattan,103.538,120.633,0.147121,103.538,120.633,103.538,120.633
Utah,119.097,111.063,0.690639,119.097,111.063,119.097,111.063
Louisiana Tech,99.6424,108.855,0.265617,99.6424,108.855,99.6424,108.855
Youngstown St.,107.181,109.082,0.449626,107.181,109.082,107.181,109.082
Jacksonville,101.841,113.878,0.216748,101.841,113.878,101.841,113.878
Tennessee St.,107.014,115.72,0.289155,107.014,115.72,107.014,115.72
Stanford,113.793,102.889,0.76104,113.793,102.889,113.793,102.889
Longwood,104.35,114.028,0.265033,104.35,114.028,104.35,114.028
Sacred Heart,106.241,118.756,0.217454,106.241,118.756,106.241,118.756
Western Kentucky,105.575,107.606,0.445435,105.575,107.606,105.575,107.606
UT Arlington,102.033,101.776,0.507242,102.033,101.776,102.033,101.776
Fordham,103.445,106.036,0.429347,103.445,106.036,103.445,106.036
Alabama St.,103.383,117.205,0.191072,103.383,117.205,103.383,117.205
Wichita St.,113.285,105.161,0.701788,113.285,105.161,113.285,105.161
Texas Tech,126.438,99.3869,0.940943,126.438,99.3869,126.438,99.3869
Boise St.,114.469,101.35,0.802151,114.469,101.35,114.469,101.35
